s_part,n_source_edges,f_part_903,f_part_1017,f_part_372,f_part_1003,f_part_733,f_part_412,f_part_1046,f_part_676,f_part_505,f_part_943,f_part_897,f_part_860,f_part_1006,f_part_572
340,1538,0.19375812743823148,0.3914174252275683,0.2847854356306892,0.010403120936280884,0.05786736020806242,0.011703511053315995,0.002600780234070221,0.003250975292587776,0.036410923276983094,0.002600780234070221,0.0,0.0006501950585175553,0.0,0.004551365409622887
185,808,0.008663366336633664,0.0012376237623762376,0.0,0.13861386138613863,0.16212871287128713,0.21905940594059406,0.1373762376237624,0.0037128712871287127,0.0,0.21905940594059406,0.0,0.07797029702970297,0.0,0.03217821782178218
159,4232,0.09073724007561437,0.17084120982986767,0.10586011342155009,0.03804347826086957,0.15855387523629488,0.14366729678638943,0.1264177693761815,0.045841209829867675,0.022684310018903593,0.021266540642722116,0.0011814744801512287,0.009688090737240076,0.0,0.06521739130434782
325,5674,0.10697920338385619,0.2076136764187522,0.12125484666901656,0.012513218188227,0.09305604511808248,0.17606626718364468,0.14187522030313712,0.0040535777229467745,0.02238279873105393,0.005639760310186817,0.00035248501938667606,0.01515685583362707,0.0,0.09305604511808248
126,1637,0.006108735491753207,0.0012217470983506415,0.01832620647525962,0.04153940134392181,0.24312767257177764,0.25045815516188147,0.19609040928527796,0.056200366524129505,0.0,0.009773976786805132,0.0,0.030543677458766034,0.0,0.14660965180207697
237,1826,0.07174151150054764,0.3543263964950712,0.15060240963855423,0.0032858707557502738,0.03066812705366922,0.024096385542168676,0.13417305585980285,0.10733844468784227,0.09090909090909091,0.000547645125958379,0.000547645125958379,0.01095290251916758,0.0,0.0208105147864184
181,991,0.18768920282542886,0.0010090817356205853,0.0020181634712411706,0.04339051463168517,0.29162462159434915,0.3773965691220989,0.0010090817356205853,0.0,0.007063572149344097,0.04238143289606458,0.02320887991927346,0.0,0.0,0.02320887991927346
342,1104,0.0661231884057971,0.13134057971014493,0.019021739130434784,0.036231884057971016,0.07971014492753623,0.10597826086956522,0.11775362318840579,0.017210144927536232,0.057971014492753624,0.04528985507246377,0.2210144927536232,0.08152173913043478,0.0,0.020833333333333332
66,9109,0.06861345921615984,0.16247667142386651,0.004171698320342519,0.013832473377977824,0.009111867383906028,0.11000109781534746,0.10868371939839719,0.0002195630694917115,0.2036447469535624,0.17806564935777802,0.0005489076737292787,0.13898342298825336,0.0,0.001646723021187836
297,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
298,10120,0.07924901185770751,0.14140316205533596,0.003458498023715415,0.08260869565217391,0.0516798418972332,0.12420948616600791,0.09752964426877471,0.0,0.1541501976284585,0.158201581027668,0.0008893280632411067,0.10503952569169961,0.0,0.0015810276679841897
270,2434,0.06039441248972884,0.2637633525061627,0.0036976170912078883,0.011503697617091208,0.01972062448644207,0.04560394412489729,0.14461791290057519,0.0,0.28841413311421527,0.01725554642563681,0.0,0.1437962202136401,0.0,0.0012325390304026294
,,3270.0,6852.0,1984.0,1507.0,2904.0,5117.0,4481.0,534.0,4633.0,3677.0,289.0,3030.0,106.0,1195.0
