source_partition,f_p_669,f_p_504,f_p_738,f_p_561,f_p_877,f_p_791,f_p_765,f_p_387,f_p_555,f_p_972,f_p_1143,f_p_850,f_p_548,f_p_465,f_p_691,f_p_964,f_p_493,f_p_1171,f_p_1121,f_p_851,f_p_1114,f_p_590,f_p_1118,f_p_1163
34,0.158,0.457,0.344,0.0,0.368,0.254,0.276,0.007,0.0,0.0,0.006,0.0,0.001,0.007,0.032,0.408,0.0,0.0,0.079,0.007,0.004,0.031,0.005,0.0
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.091,0.172,0.14,0.128,0.178,0.1,0.141,0.183,0.0,0.0,0.147,0.023,0.021,0.14,0.028,0.152,0.0,0.005,0.117,0.133,0.153,0.059,0.073,0.0
117,0.405,0.724,0.576,0.058,0.652,0.256,0.332,0.682,0.0,0.003,0.617,0.003,0.033,0.036,0.017,0.63,0.003,0.055,0.023,0.358,0.017,0.123,0.678,0.909
4,0.123,0.0,0.0,0.074,0.016,0.042,0.008,0.214,0.0,0.0,0.008,0.0,0.032,0.005,0.007,0.0,0.0,0.005,0.0,0.086,0.004,0.025,0.214,0.283
20,0.33,0.414,0.294,0.125,0.451,0.225,0.221,0.455,0.0,0.003,0.417,0.029,0.044,0.019,0.032,0.351,0.0,0.008,0.031,0.319,0.01,0.162,0.455,0.509
82,0.091,0.276,0.242,0.013,0.236,0.159,0.147,0.056,0.0,0.002,0.241,0.056,0.002,0.0,0.022,0.254,0.0,0.0,0.042,0.078,0.002,0.061,0.0,0.0
54,0.013,0.236,0.133,0.0,0.024,0.123,0.143,0.0,0.0,0.0,0.218,0.068,0.0,0.0,0.005,0.217,0.0,0.007,0.0,0.19,0.0,0.017,0.195,0.286
33,0.045,0.272,0.271,0.0,0.208,0.244,0.191,0.0,0.0,0.0,0.007,0.0,0.002,0.0,0.013,0.033,0.0,0.0,0.042,0.0,0.0,0.007,0.0,0.0
73,0.0,0.06,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.012,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.018,0.0,0.011,0.0,0.0
95,0.432,0.453,0.225,0.34,0.528,0.364,0.331,0.562,0.0,0.0,0.533,0.145,0.118,0.108,0.142,0.421,0.0,0.015,0.094,0.425,0.151,0.21,0.511,0.625
119,0.133,0.0,0.0,0.008,0.193,0.003,0.004,0.2,0.0,0.0,0.0,0.0,0.01,0.002,0.03,0.0,0.0,0.0,0.0,0.004,0.002,0.057,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.341,0.612,0.579,0.085,0.514,0.301,0.331,0.609,0.0,0.0,0.533,0.023,0.0,0.0,0.097,0.56,0.0,0.0,0.125,0.625,0.049,0.438,0.489,0.696
281,0.055,0.166,0.09,0.0,0.128,0.0,0.065,0.129,0.0,0.0,0.147,0.015,0.004,0.0,0.005,0.15,0.0,0.005,0.0,0.073,0.0,0.029,0.155,0.1
123,0.109,0.048,0.0,0.148,0.272,0.005,0.006,0.229,0.0,0.0,0.011,0.0,0.017,0.01,0.053,0.0,0.0,0.077,0.133,0.0,0.134,0.0,0.0,0.0
219,0.168,0.247,0.0,0.034,0.269,0.024,0.068,0.247,0.0,0.0,0.239,0.001,0.008,0.013,0.007,0.003,0.0,0.034,0.032,0.169,0.006,0.02,0.014,0.003
270,0.065,0.563,0.032,0.218,0.556,0.006,0.045,0.496,0.0,0.001,0.469,0.001,0.005,0.008,0.005,0.544,0.0,0.277,0.425,0.375,0.503,0.005,0.002,0.696
220,0.102,0.103,0.079,0.03,0.118,0.04,0.044,0.115,0.0,0.0,0.099,0.016,0.016,0.0,0.017,0.095,0.0,0.009,0.0,0.075,0.003,0.037,0.091,0.125
173,0.356,0.006,0.0,0.157,0.06,0.004,0.01,0.653,0.0,0.0,0.658,0.149,0.071,0.039,0.033,0.0,0.0,0.039,0.0,0.483,0.037,0.184,0.53,0.707
130,0.229,0.485,0.011,0.286,0.529,0.0,0.083,0.478,0.0,0.003,0.377,0.0,0.016,0.024,0.052,0.431,0.0,0.277,0.333,0.343,0.39,0.008,0.016,0.492
155,0.306,0.618,0.0,0.189,0.53,0.0,0.08,0.466,0.0,0.0,0.416,0.003,0.02,0.012,0.045,0.538,0.0,0.29,0.432,0.436,0.299,0.003,0.008,0.0
265,0.258,0.701,0.156,0.467,0.713,0.0,0.059,0.611,0.0,0.006,0.605,0.0,0.03,0.206,0.086,0.623,0.0,0.426,0.472,0.456,0.553,0.015,0.03,0.058
303,0.136,0.095,0.0,0.02,0.125,0.0,0.029,0.135,0.0,0.0,0.132,0.0,0.003,0.0,0.004,0.0,0.0,0.029,0.0,0.033,0.0,0.015,0.0,0.239
131,0.065,0.01,0.0,0.0,0.024,0.0,0.0,0.012,0.0,0.0,0.211,0.049,0.0,0.0,0.012,0.0,0.0,0.007,0.0,0.2,0.0,0.059,0.104,0.137
191,0.256,0.313,0.009,0.222,0.343,0.0,0.027,0.318,0.0,0.0,0.258,0.018,0.025,0.021,0.097,0.271,0.0,0.142,0.227,0.242,0.175,0.021,0.008,0.289
252,0.011,0.522,0.0,0.0,0.083,0.0,0.074,0.016,0.0,0.0,0.382,0.0,0.0,0.0,0.002,0.476,0.0,0.128,0.167,0.358,0.0,0.007,0.0,0.44
45,0.136,0.681,0.0,0.01,0.806,0.011,0.103,0.031,0.0,0.0,0.0,0.0,0.002,0.0,0.052,0.543,0.0,0.029,0.667,0.017,0.013,0.007,0.0,0.0
286,0.165,0.226,0.006,0.175,0.263,0.0,0.043,0.231,0.0,0.0,0.187,0.003,0.019,0.079,0.016,0.211,0.0,0.11,0.189,0.145,0.218,0.005,0.0,0.261
285,0.331,0.382,0.0,0.065,0.354,0.0,0.032,0.314,0.0,0.0,0.297,0.001,0.017,0.0,0.011,0.263,0.003,0.121,0.227,0.158,0.012,0.024,0.074,0.312
212,0.394,0.121,0.0,0.507,0.352,0.0,0.01,0.694,0.0,0.003,0.377,0.0,0.039,0.139,0.057,0.011,0.0,0.422,0.125,0.467,0.645,0.01,0.045,0.333
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
